epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4903,1.78721,2.74258,1.92206,0.34265,0.331,0.21161,0.0719,2.29471,3.17636,2.51914,0.000330688,0.000330688,0.000330688
2,104.803,1.82428,2.24985,1.91038,0.66885,0.22985,0.24413,0.09631,2.14332,4.5844,2.30652,0.000662706,0.000662706,0.000662706
3,162.819,1.77493,2.15165,1.91926,0.6395,0.30505,0.32261,0.12867,2.03331,2.50622,2.27195,0.000993405,0.000993405,0.000993405
4,220.248,1.76303,2.10784,1.87882,0.50373,0.39397,0.33782,0.1429,2.02101,2.53485,2.2015,0.00099406,0.00099406,0.00099406
5,277.938,1.73688,2.0521,1.85342,0.37316,0.3571,0.22246,0.0835,2.46621,3.42255,2.45399,0.00099208,0.00099208,0.00099208
6,330.869,1.69267,1.99342,1.80775,0.36233,0.40883,0.34443,0.14239,2.11932,2.63119,2.23827,0.0009901,0.0009901,0.0009901
7,387.179,1.64668,1.95367,1.7871,0.3133,0.41478,0.32188,0.14254,1.96701,2.5996,2.09711,0.00098812,0.00098812,0.00098812
8,444.426,1.64782,1.90042,1.76183,0.59669,0.41137,0.44201,0.20087,1.86837,2.25119,2.02975,0.00098614,0.00098614,0.00098614
9,506.265,1.62773,1.84481,1.75762,0.54349,0.39479,0.42468,0.1886,1.86393,2.22027,1.98725,0.00098416,0.00098416,0.00098416
10,563.681,1.6182,1.87391,1.76524,0.52969,0.51166,0.5021,0.22959,1.81093,1.86074,1.97975,0.00098218,0.00098218,0.00098218
11,626.042,1.60147,1.82428,1.7521,0.43544,0.48537,0.50344,0.23572,1.73113,1.89136,1.95013,0.0009802,0.0009802,0.0009802
12,682.952,1.56524,1.76056,1.70433,0.65361,0.47858,0.53301,0.26594,1.71473,1.8353,1.93223,0.00097822,0.00097822,0.00097822
13,739.858,1.57487,1.78081,1.72492,0.68457,0.44407,0.52628,0.25015,1.69446,1.77443,1.88203,0.00097624,0.00097624,0.00097624
14,793.379,1.55071,1.73276,1.68409,0.44646,0.48446,0.54343,0.27372,1.70468,1.87952,1.91916,0.00097426,0.00097426,0.00097426
15,856.92,1.5254,1.69109,1.68502,0.51681,0.51588,0.54138,0.24585,1.76476,1.96887,1.91738,0.00097228,0.00097228,0.00097228
16,909.981,1.54463,1.71639,1.68446,0.64852,0.52523,0.57612,0.2706,1.71374,1.72661,1.89129,0.0009703,0.0009703,0.0009703
17,964.401,1.54412,1.70591,1.70359,0.67668,0.52232,0.56648,0.27717,1.71912,1.7426,1.93334,0.00096832,0.00096832,0.00096832
18,1021.95,1.51321,1.65999,1.68679,0.48003,0.48411,0.52458,0.26809,1.76056,1.73412,1.94152,0.00096634,0.00096634,0.00096634
19,1075.43,1.4854,1.61018,1.67089,0.5392,0.48108,0.5538,0.27463,1.75712,1.73882,1.91826,0.00096436,0.00096436,0.00096436
20,1128.62,1.51632,1.64444,1.67126,0.52827,0.56516,0.58935,0.29016,1.69442,1.67679,1.8602,0.00096238,0.00096238,0.00096238
